Category,Title,Offer,Card Type,Detail URL
"Dining","Radisson Hotel – Colombo","20% Savings on Dinner buffets for minimum 2 Pax at Radisson Hotel – Colombo with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-hotel-colombo"
"Dining","Radisson Hotel – Kandy","20% Savings on Dinner buffets for minimum 2 Pax at Radisson Hotel - Kandy with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-hotel-kandy"
"Dining","Navro Seafood Family Restaurant","20% Savings at Navro Seafood Family Restaurant with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/navro-seafood-family-restaurant"
"Dining","Grand Sky Lounge","15% Savings on Dine-in at Grand Sky Lounge with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/grand-sky-lounge"
"Dining","V Eleven One restaurant","10% Savings for bills above Rs.5,000 at V Eleven One Restaurant with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/v-eleven-one-restaurant-3"
"Dining","Headquarters by W15","20% Savings on dine-in for bills above Rs. 2,500/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/headquarters-by-w15"
"Supermarket","Keells","30% Savings on Fresh Vegetables, Fruit, Seafood & Fresh Meat, for bills above Rs. 5,000/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/keells-promotion"
"Supermarket","Laugfs Promotion","10% Savings on the Total Bill at Laugfs Super for bills over Rs. 5,000/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/laugfs-promotion"
"Supermarket","Spar Supermarkets","20% Savings on Total Bill at SPAR Supermarket for bills over Rs. 10,000/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/spar-supermarkets"
"Supermarket","Spar Web Banners","25% Savings on Total Bill at SPAR Supermarket for bills over Rs. 10,000/- with DFCC Pinnacle Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/spar-supermarkets-2"
"Supermarket","Glomark Supermarkets","25% Savings at GLOMARK Supermarkets for bills above Rs. 7,500/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/glomark-supermarkets"
"Supermarket","Cargills Food City","25% Savings on Fresh Vegetables, Fruits & Seafood at all Cargills Food City, Express & Food Hall outlets for bills over Rs. 5,000/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/cargills-food-city"
"Online","Myshop Logo WBG 01 (2)","15% Savings at www.atlas.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-atlas-lk"
"Online","Wasi.lk","12 & 24 Months 0% Easy Payment Plans at Wasi.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/wasi-lk"
"Online","Daraz.lk","12 & 24 Months 0% Easy Payment Plans at Daraz.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/daraz-lk"
"Online","www.bigdeals.lk","12 & 24 Months 0% Easy Payment Plans at www.bigdeals.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-bigdeals-lk"
"Online","ZIE Fashion","25% Savings at ZIE and www.zie.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/zie-fashion"
"Online","Deedat","20% Savings at DEEDAT and www.deedatclothing.com (Promo Code: DFCC20D) with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/deedat"
"Online","5th avenue","20% Savings on Steve Madden New York Shoes & Handbags at 5thavenue.lk with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/5thavenue-lk"
"Online","Wasi logo","20% Savings and 12 & 24 months 0% Easy Payment Plans at www.wasi.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/wasi-lk-2"
"Online","Galleria Milano","20% Savings at galleriamilanoshop.com with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/galleria-milano"
"Online","Screenshot 26 3 2026 165450 ","20% Savings at www.pegada.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-pegada-lk"
"Online","VES clothing","25% Savings at vesclothing.com with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/vesclothing-com"
"Travel","Travelo Travel","Enjoy Rs. 10,000/- Savings on booking at Travelo Travel and 12 & 24 months 0% Easy Payment Plans with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/travelo-travel"
"Travel","Umrah Travel","Enjoy up to 35% Savings on flights, hotels & dining with your DFCC VISA Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/umrah-travel"
"Travel","www.crazyjets.com","15% Savings on the base fare to any destination at www.crazyjets.com and 12 & 24 months 0% Easy Payment Plans with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-crazyjets-com-2"
"Travel","Find My Fare ","Up to 20% Savings to Any Destination at Selected Airlines on base fare and 12 & 24 months 0% Easy Payment Plans with DFCC Credit Cards at www.findmyfare.com.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-findmyfare-com"
"Travel","12 & 24 Months 0% Easy Payment Plans at selected Travel Agents and Airlines with DFCC Credit Cards.","12 & 24 Months 0% Easy Payment Plans at selected Travel Agents and Airlines with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/12-and-24-months-0-easy-payment-plans-on-selected-travel-category-merchants-with-dfcc-credit-cards"
"Hotels","Earl's Regent Negombo","Up to 25% Savings at Earl's Regent Negombo on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/earl-s-regent-negombo"
"Hotels","Edwards Collection","20% Savings at Edwards Collections for double room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/edwards-collection"
"Hotels","Fox Resorts","35% Savings at Fox Resorts - Kandy & Jaffna on double & triple room bookings with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/fox-resorts"
"Hotels","Aarunya Nature Resort & Spa","35% Savings at Aarunya Nature Resort & Spa on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/aarunya-nature-resort-and-spa"
"Hotels","Aavya Cove - Balapitiya","35% Savings at Aavya Cove - Balapitiya on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/aavya-cove-balapitiya"
"Hotels","Anantaya Resorts & Spa - Pasikudah","50% Savings at Anantaya Resorts & Spa, Pasikudah on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/anantaya-resorts-and-spa-pasikudah"
"Hotels","Anantaya Resorts & Spa - Chilaw","40% Savings at Anantaya Resorts & Spa, Chilaw on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/anantaya-resorts-and-spa-chillaw"
"Hotels","Uga Bay, Passikudah","45% Savings at Uga Bay, Passikudah on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/uga-bay-passikudah"
"Hotels","Uga Jungle Beach","45% Savings at Uga Jungle Beach, Trincomalee on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/uga-jungle-beach"
"Hotels","Uga Prava, Tangalle","20% Savings at Uga Prava, Tangalle on double & triple room bookings on half board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/uga-prava-tangalle"
"Hotels","Citrus – Hikkaduwa","15% Savings at Citrus - Hikkaduwa for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/citrus-hikkaduwa"
"Hotels","Citrus Waskaduwa","15% Savings at Citrus - Waskaduwa for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/citrus-waskaduwa"
"Hotels","Araliya Beach Resorts and Spa - Unawatuna","30% Savings at Araliya Beach Resorts - Unawatuna for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/araliya-beach-resorts-and-spa-unawatuna"
"Hotels","Araliya Green City - Nuwara Eliya","20% Savings at Araliya Green City for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/araliya-green-city-nuwara-eliya"
"Hotels","Apa Villa Thalpe","20% Savings at Apa Villa Thalpe on double and triple rooms bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/apa-villa-thalpe-3"
"Hotels","Era Beach – Thalpe","20% Savings at Era Beach Thalpe on double and triple rooms bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/era-beach-thalpe-2"
"Hotels","Amagi Aria - Negombo","Up to 20% Savings at Amagi Aria - Negombo on double, triple room bookings on half board and full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/amagi-aria-negombo-3"
"Hotels","Amagi Beach - Marawila","Up to 20% Savings at Amagi Beach - Marawila on double, triple room bookings on half board and full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/amagi-beach-marawila-2"
"Hotels","Luxor Kirindi Ella","20% Savings at Luxor Hotels on double & triple room bookings on bed & Breakfast stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/luxor-kirindi-ella"
"Hotels","Browns Hotels & Resorts","20% Savings at Browns Hotels & Resorts on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/browns-hotels-and-resorts"
"Hotels","Elephant Reach Yala","20% Savings at Elephant Reach Yala for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/elephant-reach-yala"
"Hotels","Amara Sky Hotel – Kandy","40% Savings at Amaara Sky Hotel - Kandy for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/amaara-sky-hotel-kandy"
"Hotels","Radisson Colombo","10% Savings at Radisson - Colombo on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-colombo"
"Hotels","Radisson Kandy","10% Savings at Radisson - Kandy on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-kandy"
"Hotels","Radisson Blu Resort – Galle","10% Savings at Radisson Blu Resort - Galle on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-blu-resort-galle-2"
"Hotels","Sun Siyam Pasikudah","20% Savings at Sun Siyam - Pasikudha on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/sun-siyam-pasikudah"
"Hotels","Wattura Resort & Spa","35% Savings at Wattura Resort & Spa on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/wattura-resort-and-spa"
"Hotels","Tropical Life Resort & Spa Dambulla","35% Savings at Tropical Life Resort & Spa - Dambulla on double & triple room bookings on half board & full board stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/tropical-life-resort-and-spa-dambulla"
"Hotels","Sooriya Resort & Spa","25% Savings at Sooriya Resort & Spa - Tangalle on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/sooriya-resort-and-spa"
"Hotels","Hunas Falls - Kandy","30% Savings at Hunas Falls - Kandy on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/hunas-falls-kandy"
"Hotels","Jie Jie Beach Hotel – Panadura","20% Savings at Jie Jie Beach Panadura on double & triple room bookings on half board and full board  basis stays with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/jie-jie-beach-hotel-panadura"
"Hotels","Grand Udawalawe Safari Resort","30% Savings at Grand Udawalawe Safari Resort on double room bookings on full board basis stays with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/grand-udawalawe-safari-resort"
"Hotels","The Glenrock – Belihuloya","25% Savings at The Glenrock - Belihuloya on double and triple rooms bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/the-glenrock-belihuloya"
"Hotels","Grand Serendib Hotel","30% Savings at Grand Serendib on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/grand-serendib-hotel"
"Hotels","Trio Lodge - Habarana","35% Savings at Trio Lodge - Habarana on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/trio-lodge-habarana"
"Hotels","Taj Bentota","25% Savings at Taj Bentota Resort & Spa on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/taj-bentota-2"
"Hotels","Marina by DAE","20% Savings at Marina by DAE on double room bookings on Half Board Basis Stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/marina-by-dae"
"Hotels","Kandy City Hotel","20% Savings at Kandy City Hotel on double & triple room bookings on half board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/kandy-city-hotel"
"Hotels","Goldi Sands Hotel - Negombo","25% Savings at Goldi Sands Hotel - Negombo on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/goldi-sands-hotel-negombo"
"Hotels","Amaya Resorts & Spa","Up to 35% Savings at Amaya Resorts & Spas for double & triple room booking on half board and full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/amaya-resorts-and-spa"
